state,zip_code,zip_url,latitude,longitude,population,house_value,household_income
VA,22642,https://www.zip-codes.com/zip-code/22642/zip-code-22642.asp,38.904856,-78.06500600000000,4934,220400,79688
VA,22643,https://www.zip-codes.com/zip-code/22643/zip-code-22643.asp,38.896094,-78.00445500000000,345,245000,0
VA,22644,https://www.zip-codes.com/zip-code/22644/zip-code-22644.asp,38.963719,-78.53644,2366,214600,62024
VA,22645,https://www.zip-codes.com/zip-code/22645/zip-code-22645.asp,39.023552,-78.269751,4352,270600,77992
VA,22649,https://www.zip-codes.com/zip-code/22649/zip-code-22649.asp,39.002052,-78.257026,23,0,0
VA,22650,https://www.zip-codes.com/zip-code/22650/zip-code-22650.asp,38.759252,-78.36151,1202,218900,57014
VA,22652,https://www.zip-codes.com/zip-code/22652/zip-code-22652.asp,38.845832,-78.434596,1630,295500,62875
VA,22654,https://www.zip-codes.com/zip-code/22654/zip-code-22654.asp,39.063737000000000,-78.450477,859,236800,67586
VA,22655,https://www.zip-codes.com/zip-code/22655/zip-code-22655.asp,39.048236,-78.238658,22694,244000,74958
VA,22656,https://www.zip-codes.com/zip-code/22656/zip-code-22656.asp,39.213555,-78.08284,5299,233500,84438
VA,22657,https://www.zip-codes.com/zip-code/22657/zip-code-22657.asp,39.00921,-78.35077,12401,210600,57188
VA,22660,https://www.zip-codes.com/zip-code/22660/zip-code-22660.asp,38.954501,-78.431139,1762,184000,53030
VA,22663,https://www.zip-codes.com/zip-code/22663/zip-code-22663.asp,39.056207,-78.114527,1913,275000,67813
VA,22664,https://www.zip-codes.com/zip-code/22664/zip-code-22664.asp,38.891647,-78.53407,9752,222100,51693
VA,22701,https://www.zip-codes.com/zip-code/22701/zip-code-22701.asp,38.43995,-78.010048,37387,257800,69685
VA,22709,https://www.zip-codes.com/zip-code/22709/zip-code-22709.asp,38.306596,-78.252223,995,238300,56020
VA,22711,https://www.zip-codes.com/zip-code/22711/zip-code-22711.asp,38.470124,-78.28344800000000,176,0,0
VA,22712,https://www.zip-codes.com/zip-code/22712/zip-code-22712.asp,38.549229,-77.75582,10760,280400,86288
VA,22713,https://www.zip-codes.com/zip-code/22713/zip-code-22713.asp,38.539248,-78.141492,1407,285400,86471
VA,22714,https://www.zip-codes.com/zip-code/22714/zip-code-22714.asp,38.519933,-77.88393,1070,325000,92917
VA,22715,https://www.zip-codes.com/zip-code/22715/zip-code-22715.asp,38.412038,-78.170982,1159,266100,58640
VA,22716,https://www.zip-codes.com/zip-code/22716/zip-code-22716.asp,38.621137,-78.099233,1062,518200,46908
VA,22718,https://www.zip-codes.com/zip-code/22718/zip-code-22718.asp,38.469332,-77.814684,652,273700,72917
VA,22719,https://www.zip-codes.com/zip-code/22719/zip-code-22719.asp,38.509532,-78.26432,387,225000,53500
VA,22720,https://www.zip-codes.com/zip-code/22720/zip-code-22720.asp,38.47597,-77.641952,936,432200,124375
VA,22722,https://www.zip-codes.com/zip-code/22722/zip-code-22722.asp,38.460708,-78.23354600000000,245,0,48199
VA,22723,https://www.zip-codes.com/zip-code/22723/zip-code-22723.asp,38.34236,-78.39638600000000,53,276200,0
VA,22724,https://www.zip-codes.com/zip-code/22724/zip-code-22724.asp,38.62973,-77.90572400000000,2719,358200,106576
VA,22725,https://www.zip-codes.com/zip-code/22725/zip-code-22725.asp,38.442694,-78.13840400000000,50,0,0
VA,22726,https://www.zip-codes.com/zip-code/22726/zip-code-22726.asp,38.399344,-77.8145,784,231500,49167
VA,22727,https://www.zip-codes.com/zip-code/22727/zip-code-22727.asp,38.394258,-78.323079,5145,246600,54006
VA,22728,https://www.zip-codes.com/zip-code/22728/zip-code-22728.asp,38.576878,-77.67995400000000,3415,351200,91304
VA,22729,https://www.zip-codes.com/zip-code/22729/zip-code-22729.asp,38.36934,-78.01639,128,314300,73333
VA,22730,https://www.zip-codes.com/zip-code/22730/zip-code-22730.asp,38.358245,-78.170013,108,0,0
VA,22731,https://www.zip-codes.com/zip-code/22731/zip-code-22731.asp,38.355484,-78.27508,170,0,0
VA,22732,https://www.zip-codes.com/zip-code/22732/zip-code-22732.asp,38.314479,-78.19878800000000,395,328800,0
VA,22733,https://www.zip-codes.com/zip-code/22733/zip-code-22733.asp,38.33335,-78.04187900000000,1367,318100,88393
VA,22734,https://www.zip-codes.com/zip-code/22734/zip-code-22734.asp,38.52815800000000,-77.823134,3459,245000,71359
VA,22735,https://www.zip-codes.com/zip-code/22735/zip-code-22735.asp,38.483014,-78.165428,2392,311000,78548
VA,22736,https://www.zip-codes.com/zip-code/22736/zip-code-22736.asp,38.393957,-77.695736,645,236100,88594
VA,22737,https://www.zip-codes.com/zip-code/22737/zip-code-22737.asp,38.589829,-78.008185,3540,253000,61875
VA,22738,https://www.zip-codes.com/zip-code/22738/zip-code-22738.asp,38.27541,-78.252938,1221,298500,67984
VA,22740,https://www.zip-codes.com/zip-code/22740/zip-code-22740.asp,38.635333,-78.254739,1249,340600,51250
VA,22741,https://www.zip-codes.com/zip-code/22741/zip-code-22741.asp,38.441348,-77.866682,189,0,67679
VA,22742,https://www.zip-codes.com/zip-code/22742/zip-code-22742.asp,38.460762,-77.71565,1848,296600,93679
VA,22743,https://www.zip-codes.com/zip-code/22743/zip-code-22743.asp,38.54204,-78.377953,175,274100,0
VA,22747,https://www.zip-codes.com/zip-code/22747/zip-code-22747.asp,38.73078,-78.171971,970,376500,72042
VA,22749,https://www.zip-codes.com/zip-code/22749/zip-code-22749.asp,38.619249,-78.183596,427,669100,78750
VA,22801,https://www.zip-codes.com/zip-code/22801/zip-code-22801.asp,38.41421,-78.892628,44113,260700,48767
VA,22802,https://www.zip-codes.com/zip-code/22802/zip-code-22802.asp,38.48628400000000,-78.850636,27662,184900,47684
VA,22810,https://www.zip-codes.com/zip-code/22810/zip-code-22810.asp,38.822486,-78.78706,215,214000,91298
VA,22811,https://www.zip-codes.com/zip-code/22811/zip-code-22811.asp,38.800980000000000,-78.981802,556,227600,60909
VA,22812,https://www.zip-codes.com/zip-code/22812/zip-code-22812.asp,38.371346,-79.038014,8314,217700,60966
